Data Logged From Pressure Experiment
Temperature (C),Pressure,Valve State,Time (mS)
0.0,0.0,0.0,143323.0
0.0,0.0,0.0,143401.0
0.0,0.0,0.0,143478.0
0.0,0.0,0.0,143557.0
0.0,0.0,0.0,143635.0
0.0,0.0,0.0,143712.0
0.0,0.0,0.0,143790.0
0.0,0.0,0.0,143867.0
0.0,0.0,0.0,143945.0
0.0,0.0,0.0,144022.0
0.0,0.0,0.0,144100.0
0.0,0.0,0.0,144179.0
0.0,0.0,0.0,144256.0
0.0,0.0,0.0,144334.0
0.0,0.0,0.0,144411.0
0.0,0.0,0.0,144489.0
0.0,0.0,0.0,144566.0
0.0,0.0,0.0,144644.0
0.0,0.0,0.0,144721.0
0.0,0.0,0.0,144800.0
0.0,0.0,0.0,144878.0
0.0,0.0,0.0,144955.0
0.0,0.0,0.0,145033.0
0.0,0.0,0.0,145110.0
0.0,0.0,0.0,145188.0
0.0,0.0,0.0,145265.0
0.0,0.0,0.0,145343.0
0.0,0.0,0.0,145422.0
0.0,0.0,0.0,145499.0
0.0,0.0,0.0,145577.0
0.0,0.0,0.0,145654.0
0.0,0.0,0.0,145732.0
0.0,0.0,0.0,145809.0
0.0,0.0,0.0,145887.0
0.0,0.0,0.0,145964.0
0.0,0.0,0.0,146043.0
0.0,0.0,0.0,146121.0
0.0,0.0,0.0,146198.0
0.0,0.0,0.0,146276.0
0.0,0.0,0.0,146353.0
0.0,0.0,0.0,146431.0
0.0,0.0,0.0,146508.0
0.0,0.0,0.0,146586.0
0.0,0.0,0.0,146665.0
0.0,0.0,0.0,146742.0
0.0,0.0,0.0,146820.0
0.0,0.0,0.0,146897.0
0.0,0.0,0.0,146975.0
0.0,0.0,0.0,147052.0
0.0,0.0,0.0,147130.0
0.0,0.0,0.0,147207.0
0.0,0.0,0.0,147286.0
0.0,0.0,0.0,147364.0
0.0,0.0,0.0,147441.0
0.0,0.0,0.0,147519.0
0.0,0.0,0.0,147596.0
0.0,0.0,0.0,147674.0
0.0,-0.02,0.0,147751.0
0.0,-0.88,0.0,147829.0
0.0,-1.47,0.0,147908.0
0.0,-2.84,0.0,147985.0
0.0,-17.03,0.0,148063.0
0.0,-27.03,0.0,148140.0
0.0,-29.0,0.0,148218.0
0.0,-29.03,0.0,148297.0
0.0,-27.95,0.0,148374.0
0.0,-24.12,0.0,148452.0
0.0,-20.81,0.0,148529.0
0.0,-16.31,0.0,148608.0
0.0,-11.08,0.0,148686.0
0.0,-0.02,0.0,148763.0
0.0,-0.66,0.0,148841.0
0.0,0.0,0.0,148918.0
0.0,0.0,0.0,148996.0
0.0,0.0,0.0,149073.0
0.0,0.0,0.0,149152.0
0.0,-0.64,0.0,149230.0
0.0,-0.91,0.0,149307.0
0.0,-19.11,0.0,149385.0
0.0,-17.94,0.0,149462.0
0.0,-19.64,0.0,149540.0
0.0,-22.81,0.0,149619.0
0.0,-28.31,0.0,149696.0
0.0,-33.56,0.0,149774.0
0.0,-35.09,0.0,149851.0
0.0,-32.66,0.0,149930.0
0.0,-32.47,0.0,150008.0
0.0,-35.42,0.0,150085.0
0.0,-29.28,0.0,150163.0
0.0,-29.22,0.0,150241.0
0.0,-21.17,0.0,150319.0
0.0,-17.94,0.0,150396.0
0.0,-14.47,0.0,150474.0
0.0,-16.8,0.0,150552.0
0.0,-6.05,0.0,150630.0
0.0,-4.22,0.0,150708.0
0.0,-6.25,0.0,150785.0
0.0,-1.02,0.0,150863.0
0.0,-0.27,0.0,150940.0
0.0,-0.2,0.0,151018.0
0.0,-0.23,0.0,151096.0
0.0,-0.28,0.0,151174.0
0.0,-0.23,0.0,151252.0
0.0,-0.25,0.0,151329.0
0.0,-0.31,0.0,151407.0
0.0,-6.89,0.0,151484.0
0.0,-9.23,0.0,151562.0
0.0,-2.98,0.0,151640.0
0.0,-0.28,0.0,151718.0
0.0,-10.81,0.0,151796.0
0.0,36.33,0.0,151873.0
0.0,-0.14,0.0,151951.0
0.0,-0.12,0.0,152028.0
0.0,-0.16,0.0,152106.0
0.0,-13.0,0.0,152185.0
0.0,-23.22,0.0,152262.0
0.0,-30.39,0.0,152340.0
0.0,-30.39,0.0,152417.0
0.0,-28.92,0.0,152496.0
0.0,-29.37,0.0,152574.0
0.0,-29.91,0.0,152651.0
0.0,-20.3,0.0,152729.0
0.0,0.0,0.0,152806.0
0.0,-0.11,0.0,152885.0
0.0,0.0,0.0,152963.0
0.0,0.0,0.0,153040.0
