Data Logged From Pressure Experiment,,,
Temperature (C),Pressure,Valve State,Time S
25,72.66,0,158.21
25,72.66,0,158.29
25.25,72.67,0,158.37
25.25,72.64,0,158.45
25.25,72.64,0,158.53
25.25,72.64,0,158.61
25.25,72.64,0,158.68
25.25,72.64,0,158.76
25.25,72.64,0,158.84
25.25,72.66,0,158.92
25.25,72.64,0,159
25.25,72.62,0,159.08
25.25,72.64,0,159.16
25.25,72.66,0,159.24
25.25,72.64,0,159.31
25.25,72.64,0,159.39
25,72.66,0,159.47
25.25,72.66,0,159.55
25.25,72.64,0,159.63
25.25,72.64,0,159.71
25.25,72.62,0,159.79
25.25,72.64,0,159.86
25,72.66,0,159.94
25.25,72.64,0,160.02
25.25,72.62,0,160.1
25.25,72.67,0,160.18
25.25,72.66,0,160.26
25,72.64,0,160.34
25.25,72.62,0,160.41
25.25,72.66,0,160.49
25.25,72.64,0,160.57
25.25,72.64,0,160.65
25.25,72.64,0,160.73
25.25,72.67,0,160.81
25.25,72.66,0,160.88
25.25,72.64,0,160.96
25,72.66,0,161.04
25.25,72.66,0,161.12
25.25,72.67,0,161.2
25.25,72.64,0,161.28
25.25,72.66,0,161.36
25.25,72.67,0,161.43
25.25,72.64,0,161.51
25.25,72.66,0,161.59
25.25,72.64,0,161.67
25.25,72.66,0,161.75
25.25,72.64,0,161.83
25.25,72.64,0,161.91
25.25,72.64,0,161.99
25.25,72.66,0,162.06
25.25,72.66,0,162.14
25.25,72.64,0,162.22
25.25,72.66,0,162.3
25.25,72.67,0,162.38
0,72.66,0,162.46
25.25,72.64,0,162.53
25,72.66,0,162.61
25,72.67,0,162.69
25.25,72.66,0,162.77
25.25,72.64,0,162.85
25.25,72.66,0,162.93
25.25,72.66,0,163.01
25.25,72.64,0,163.08
25.25,72.64,0,163.16
25.25,72.66,0,163.24
25.25,72.67,0,163.32
25.25,72.64,0,163.4
25.25,72.66,0,163.48
25.25,72.67,0,163.56
25.25,72.67,0,163.63
25.25,72.66,0,163.71
25.25,72.64,0,163.79
25.25,72.66,0,163.87
25.25,72.67,0,163.95
25.25,72.64,0,164.03
25.25,72.64,0,164.11
25.25,72.66,0,164.18
25.25,72.66,0,164.26
25.25,72.66,0,164.34
25.25,72.66,0,164.42
25,72.66,0,164.5
25.25,72.67,0,164.58
25,72.64,0,164.66
25.25,72.66,0,164.74
25.25,72.67,0,164.81
25.25,72.66,0,164.89
25.25,72.66,0,164.97
25.25,72.66,0,165.05
25.25,72.66,0,165.13
25.25,72.66,0,165.21
25.25,72.64,0,165.28
25.25,72.66,0,165.36
25.25,72.67,0,165.44
25.25,72.67,0,165.52
25.25,72.66,0,165.6
25.25,72.67,0,165.68
25.25,72.69,0,165.76
25.25,72.69,0,165.84
25.25,72.66,0,165.91
25.25,72.67,0,165.99
25.25,72.67,0,166.07
25.25,72.66,0,166.15
25.25,72.66,0,166.23
25.25,72.66,0,166.31
25.25,72.67,0,166.38
25.25,72.66,0,166.46
25.25,72.64,0,166.54
25.25,72.67,0,166.62
25.25,72.69,0,166.7
25.25,72.66,0,166.78
